side,kind,index,tw_size,tw_gap_cents,share,size_x_ns,ns,two_sided_ns,note
ask,level,10,160.832311,21.865993,1.000000,3763475401711297,23399995758824,23399995758824,size and gap conditional on the level existing; share = time it existed / two-sided time
ask,cent,0,138.373731,0,1.000000,3237944725177181,23399995758824,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
ask,cent,1,48.115241,1,1.000000,1125896444644040,23399995758824,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
ask,cent,2,45.954299,2,1.000000,1075330409222559,23399995758824,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
ask,cent,3,47.410033,3,1.000000,1109394581998782,23399995758824,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
ask,cent,4,47.639373,4,1.000000,1114761131535697,23399995758824,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
ask,cent,5,49.113983,5,1.000000,1149266991539860,23399995758824,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
ask,cent,6,59.016410,6,1.000000,1380983732852176,23399995758824,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
ask,cent,7,55.580792,7,1.000000,1300590298575495,23399995758824,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
ask,cent,8,65.238112,8,1.000000,1526571549634643,23399995758824,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
ask,cent,9,66.275500,9,1.000000,1550846420387709,23399995758824,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
ask,cent,10,81.072957,10,0.995850,1889233288061676,23302878761884,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
ask,cent,11,69.540976,11,0.986131,1604689439846801,23075451796444,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
ask,cent,12,69.163314,12,0.969394,1568888553677012,22683825524855,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
ask,cent,13,68.734936,13,0.939871,1511685692628026,21992974587828,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
ask,cent,14,59.876654,14,0.899378,1260130530048471,21045440012294,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
ask,cent,15,58.655965,15,0.851578,1168832516636149,19926916574817,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
ask,cent,16,58.730147,16,0.802407,1102735563060191,18776311911916,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
ask,cent,17,55.705444,17,0.738607,962779153621522,17283394315389,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
ask,cent,18,59.526174,18,0.676414,942185886265405,15828094107117,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
ask,cent,19,58.395153,19,0.614035,839046359160449,14368424705745,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
ask,cent,20,66.853769,20,0.546402,854778656637604,12785795982981,23399995758824,size conditional on the level-10 band reaching this cent; share = coverage
ask,summary,adjacent_gap_cents,2.429555,,,51166414624838000,210599961829416,23399995758824,"mean cents between consecutive occupied levels, time-weighted"
ask,summary,one_cent_gap_share,,,0.466791,98306129460615,210599961829416,23399995758824,share of adjacent-level gaps equal to one cent
